metadata,nomenc,nomenc name,nom-item,nom-item code,property,property2,property3,property4,property5,desc,desc2,desc3,desc4,desc5,desc6,desc7,desc8,desc9,desc10,desc11,desc12,desc13,desc14,desc15,desc16,desc17,desc18,desc19,desc20,desc21,desc22,desc23,nom-item2,nom-item code2,property22,property32,property42,property52,property6,desc222,desc32,desc42,desc52,desc62,desc72,desc82,desc92,desc102,desc112,desc122,desc132,desc142,desc152,desc162,desc172,desc182,desc192,desc202,desc212,desc2222,desc232,desc24,nom-item22,nom-item code22,property222,desc22222,desc322,desc422,desc522,desc622,desc722,desc822,desc922,desc1022,desc1122,desc1222,desc1322,desc1422,desc1522,desc1622,desc1722,desc1822,desc1922,desc2022,desc2122,desc223,desc2322,desc242,nom-item222,nom-item code222,property2222,desc222222,desc3222,desc4222,desc5222,desc6222,desc7222,desc8222,desc9222,desc10222,desc11222,desc12222,desc13222,desc14222,desc15222,desc16222,desc17222,desc18222,desc19222,desc20222,desc21222,desc2222222,desc23222,desc2422,nom-item2222,nom-item code2222,desc2,desc lang
metadata,nomenc,fp,nom-item,5,,,,,,Administration,-,Администрация,Správa,-,Verwaltung,Διοίκηση,Administración,Haldus,Hallinto,Administracija,Igazgatás,Amministrazione,Administravimas,Administrācija,Amministrazzjoni,Administratie,Administracja,Administração,Administrație,Administratíva,Uprava,-,nom-item,5.2,,,,,,Administrative expenditure of the institutions,Dépenses administratives des institutions,Административни разходи на институциите,Správní výdaje orgánů,Institutionernes administrative udgifter,Verwaltungsausgaben der Organe,Διοικητικές δαπάνες των θεσμικών οργάνων,Gastos administrativos de las Instituciones,Institutsioonide halduskulud,Toimielinten hallintomenot,Administrativni rashodi institucija,Az intézmények igazgatási kiadásai,Spese amministrative delle istituzioni,Institucijų administracinės išlaidos,Iestāžu administratīvie izdevumi,Nefqa amministrattiva tal-istituzzjonijiet,Administratieve uitgaven van de instellingen,Wydatki administracyjne instytucji,Despesas administrativas das instituições,Cheltuieli administrative ale instituțiilor,Administratívne výdavky inštitúcií,Upravni odhodki institucij,Administrativa utgifter för institutionerna,nom-item,5.2.1,,European Parliament,Parlement européen,Европейски парламент,Evropský parlament,Europa-Parlamentet,Europäisches Parlament,Ευρωπαϊκό Κοινοβούλιο,Parlamento Europeo,Euroopa Parlament,Euroopan parlamentti,Europski parlament,Európai Parlament,Parlamento europeo,Europos Parlamentas,Eiropas Parlaments,Parlament Ewropew,Europees Parlement,Parlament Europejski,Parlamento Europeu ,Parlamentul European,Európsky parlament,Evropski parlament,Europaparlamentet,nom-item,5.2.12,,Staff,Personnel,Персонал,Zaměstnanci,Personale,Personal,Προσωπικό,Personal,Personal,Henkilöstö,Osoblje,Személyi állomány,Personale,Darbuotojai,Personāls,Persunal,Personeel,Personel,Pessoal,Personal,Zamestnanci,Uslužbenci,Personal,nom-item,5.2.121,Löner till personal som omfattas av tjänsteföreskrifterna,sv
metadata,nomenc,fp,nom-item,5,,,,,,Administration,-,Администрация,Správa,-,Verwaltung,Διοίκηση,Administración,Haldus,Hallinto,Administracija,Igazgatás,Amministrazione,Administravimas,Administrācija,Amministrazzjoni,Administratie,Administracja,Administração,Administrație,Administratíva,Uprava,-,nom-item,5.2,,,,,,Administrative expenditure of the institutions,Dépenses administratives des institutions,Административни разходи на институциите,Správní výdaje orgánů,Institutionernes administrative udgifter,Verwaltungsausgaben der Organe,Διοικητικές δαπάνες των θεσμικών οργάνων,Gastos administrativos de las Instituciones,Institutsioonide halduskulud,Toimielinten hallintomenot,Administrativni rashodi institucija,Az intézmények igazgatási kiadásai,Spese amministrative delle istituzioni,Institucijų administracinės išlaidos,Iestāžu administratīvie izdevumi,Nefqa amministrattiva tal-istituzzjonijiet,Administratieve uitgaven van de instellingen,Wydatki administracyjne instytucji,Despesas administrativas das instituições,Cheltuieli administrative ale instituțiilor,Administratívne výdavky inštitúcií,Upravni odhodki institucij,Administrativa utgifter för institutionerna,nom-item,5.2.1,,European Parliament,Parlement européen,Европейски парламент,Evropský parlament,Europa-Parlamentet,Europäisches Parlament,Ευρωπαϊκό Κοινοβούλιο,Parlamento Europeo,Euroopa Parlament,Euroopan parlamentti,Europski parlament,Európai Parlament,Parlamento europeo,Europos Parlamentas,Eiropas Parlaments,Parlament Ewropew,Europees Parlement,Parlament Europejski,Parlamento Europeu ,Parlamentul European,Európsky parlament,Evropski parlament,Europaparlamentet,nom-item,5.2.12,,Staff,Personnel,Персонал,Zaměstnanci,Personale,Personal,Προσωπικό,Personal,Personal,Henkilöstö,Osoblje,Személyi állomány,Personale,Darbuotojai,Personāls,Persunal,Personeel,Personel,Pessoal,Personal,Zamestnanci,Uslužbenci,Personal,nom-item,5.2.122,Remuneration external staff,en
metadata,nomenc,fp,nom-item,5,,,,,,Administration,-,Администрация,Správa,-,Verwaltung,Διοίκηση,Administración,Haldus,Hallinto,Administracija,Igazgatás,Amministrazione,Administravimas,Administrācija,Amministrazzjoni,Administratie,Administracja,Administração,Administrație,Administratíva,Uprava,-,nom-item,5.2,,,,,,Administrative expenditure of the institutions,Dépenses administratives des institutions,Административни разходи на институциите,Správní výdaje orgánů,Institutionernes administrative udgifter,Verwaltungsausgaben der Organe,Διοικητικές δαπάνες των θεσμικών οργάνων,Gastos administrativos de las Instituciones,Institutsioonide halduskulud,Toimielinten hallintomenot,Administrativni rashodi institucija,Az intézmények igazgatási kiadásai,Spese amministrative delle istituzioni,Institucijų administracinės išlaidos,Iestāžu administratīvie izdevumi,Nefqa amministrattiva tal-istituzzjonijiet,Administratieve uitgaven van de instellingen,Wydatki administracyjne instytucji,Despesas administrativas das instituições,Cheltuieli administrative ale instituțiilor,Administratívne výdavky inštitúcií,Upravni odhodki institucij,Administrativa utgifter för institutionerna,nom-item,5.2.1,,European Parliament,Parlement européen,Европейски парламент,Evropský parlament,Europa-Parlamentet,Europäisches Parlament,Ευρωπαϊκό Κοινοβούλιο,Parlamento Europeo,Euroopa Parlament,Euroopan parlamentti,Europski parlament,Európai Parlament,Parlamento europeo,Europos Parlamentas,Eiropas Parlaments,Parlament Ewropew,Europees Parlement,Parlament Europejski,Parlamento Europeu ,Parlamentul European,Európsky parlament,Evropski parlament,Europaparlamentet,nom-item,5.2.12,,Staff,Personnel,Персонал,Zaměstnanci,Personale,Personal,Προσωπικό,Personal,Personal,Henkilöstö,Osoblje,Személyi állomány,Personale,Darbuotojai,Personāls,Persunal,Personeel,Personel,Pessoal,Personal,Zamestnanci,Uslužbenci,Personal,nom-item,5.2.122,Rémunération personnel externe,fr
metadata,nomenc,fp,nom-item,5,,,,,,Administration,-,Администрация,Správa,-,Verwaltung,Διοίκηση,Administración,Haldus,Hallinto,Administracija,Igazgatás,Amministrazione,Administravimas,Administrācija,Amministrazzjoni,Administratie,Administracja,Administração,Administrație,Administratíva,Uprava,-,nom-item,5.2,,,,,,Administrative expenditure of the institutions,Dépenses administratives des institutions,Административни разходи на институциите,Správní výdaje orgánů,Institutionernes administrative udgifter,Verwaltungsausgaben der Organe,Διοικητικές δαπάνες των θεσμικών οργάνων,Gastos administrativos de las Instituciones,Institutsioonide halduskulud,Toimielinten hallintomenot,Administrativni rashodi institucija,Az intézmények igazgatási kiadásai,Spese amministrative delle istituzioni,Institucijų administracinės išlaidos,Iestāžu administratīvie izdevumi,Nefqa amministrattiva tal-istituzzjonijiet,Administratieve uitgaven van de instellingen,Wydatki administracyjne instytucji,Despesas administrativas das instituições,Cheltuieli administrative ale instituțiilor,Administratívne výdavky inštitúcií,Upravni odhodki institucij,Administrativa utgifter för institutionerna,nom-item,5.2.1,,European Parliament,Parlement européen,Европейски парламент,Evropský parlament,Europa-Parlamentet,Europäisches Parlament,Ευρωπαϊκό Κοινοβούλιο,Parlamento Europeo,Euroopa Parlament,Euroopan parlamentti,Europski parlament,Európai Parlament,Parlamento europeo,Europos Parlamentas,Eiropas Parlaments,Parlament Ewropew,Europees Parlement,Parlament Europejski,Parlamento Europeu ,Parlamentul European,Európsky parlament,Evropski parlament,Europaparlamentet,nom-item,5.2.12,,Staff,Personnel,Персонал,Zaměstnanci,Personale,Personal,Προσωπικό,Personal,Personal,Henkilöstö,Osoblje,Személyi állomány,Personale,Darbuotojai,Personāls,Persunal,Personeel,Personel,Pessoal,Personal,Zamestnanci,Uslužbenci,Personal,nom-item,5.2.122,Възнаграждения за външния персонал,bg
metadata,nomenc,fp,nom-item,5,,,,,,Administration,-,Администрация,Správa,-,Verwaltung,Διοίκηση,Administración,Haldus,Hallinto,Administracija,Igazgatás,Amministrazione,Administravimas,Administrācija,Amministrazzjoni,Administratie,Administracja,Administração,Administrație,Administratíva,Uprava,-,nom-item,5.2,,,,,,Administrative expenditure of the institutions,Dépenses administratives des institutions,Административни разходи на институциите,Správní výdaje orgánů,Institutionernes administrative udgifter,Verwaltungsausgaben der Organe,Διοικητικές δαπάνες των θεσμικών οργάνων,Gastos administrativos de las Instituciones,Institutsioonide halduskulud,Toimielinten hallintomenot,Administrativni rashodi institucija,Az intézmények igazgatási kiadásai,Spese amministrative delle istituzioni,Institucijų administracinės išlaidos,Iestāžu administratīvie izdevumi,Nefqa amministrattiva tal-istituzzjonijiet,Administratieve uitgaven van de instellingen,Wydatki administracyjne instytucji,Despesas administrativas das instituições,Cheltuieli administrative ale instituțiilor,Administratívne výdavky inštitúcií,Upravni odhodki institucij,Administrativa utgifter för institutionerna,nom-item,5.2.1,,European Parliament,Parlement européen,Европейски парламент,Evropský parlament,Europa-Parlamentet,Europäisches Parlament,Ευρωπαϊκό Κοινοβούλιο,Parlamento Europeo,Euroopa Parlament,Euroopan parlamentti,Europski parlament,Európai Parlament,Parlamento europeo,Europos Parlamentas,Eiropas Parlaments,Parlament Ewropew,Europees Parlement,Parlament Europejski,Parlamento Europeu ,Parlamentul European,Európsky parlament,Evropski parlament,Europaparlamentet,nom-item,5.2.12,,Staff,Personnel,Персонал,Zaměstnanci,Personale,Personal,Προσωπικό,Personal,Personal,Henkilöstö,Osoblje,Személyi állomány,Personale,Darbuotojai,Personāls,Persunal,Personeel,Personel,Pessoal,Personal,Zamestnanci,Uslužbenci,Personal,nom-item,5.2.122,Odměny externích zaměstnanců,cs
metadata,nomenc,fp,nom-item,5,,,,,,Administration,-,Администрация,Správa,-,Verwaltung,Διοίκηση,Administración,Haldus,Hallinto,Administracija,Igazgatás,Amministrazione,Administravimas,Administrācija,Amministrazzjoni,Administratie,Administracja,Administração,Administrație,Administratíva,Uprava,-,nom-item,5.2,,,,,,Administrative expenditure of the institutions,Dépenses administratives des institutions,Административни разходи на институциите,Správní výdaje orgánů,Institutionernes administrative udgifter,Verwaltungsausgaben der Organe,Διοικητικές δαπάνες των θεσμικών οργάνων,Gastos administrativos de las Instituciones,Institutsioonide halduskulud,Toimielinten hallintomenot,Administrativni rashodi institucija,Az intézmények igazgatási kiadásai,Spese amministrative delle istituzioni,Institucijų administracinės išlaidos,Iestāžu administratīvie izdevumi,Nefqa amministrattiva tal-istituzzjonijiet,Administratieve uitgaven van de instellingen,Wydatki administracyjne instytucji,Despesas administrativas das instituições,Cheltuieli administrative ale instituțiilor,Administratívne výdavky inštitúcií,Upravni odhodki institucij,Administrativa utgifter för institutionerna,nom-item,5.2.1,,European Parliament,Parlement européen,Европейски парламент,Evropský parlament,Europa-Parlamentet,Europäisches Parlament,Ευρωπαϊκό Κοινοβούλιο,Parlamento Europeo,Euroopa Parlament,Euroopan parlamentti,Europski parlament,Európai Parlament,Parlamento europeo,Europos Parlamentas,Eiropas Parlaments,Parlament Ewropew,Europees Parlement,Parlament Europejski,Parlamento Europeu ,Parlamentul European,Európsky parlament,Evropski parlament,Europaparlamentet,nom-item,5.2.12,,Staff,Personnel,Персонал,Zaměstnanci,Personale,Personal,Προσωπικό,Personal,Personal,Henkilöstö,Osoblje,Személyi állomány,Personale,Darbuotojai,Personāls,Persunal,Personeel,Personel,Pessoal,Personal,Zamestnanci,Uslužbenci,Personal,nom-item,5.2.122,Vederlag til eksternt personale,da
metadata,nomenc,fp,nom-item,5,,,,,,Administration,-,Администрация,Správa,-,Verwaltung,Διοίκηση,Administración,Haldus,Hallinto,Administracija,Igazgatás,Amministrazione,Administravimas,Administrācija,Amministrazzjoni,Administratie,Administracja,Administração,Administrație,Administratíva,Uprava,-,nom-item,5.2,,,,,,Administrative expenditure of the institutions,Dépenses administratives des institutions,Административни разходи на институциите,Správní výdaje orgánů,Institutionernes administrative udgifter,Verwaltungsausgaben der Organe,Διοικητικές δαπάνες των θεσμικών οργάνων,Gastos administrativos de las Instituciones,Institutsioonide halduskulud,Toimielinten hallintomenot,Administrativni rashodi institucija,Az intézmények igazgatási kiadásai,Spese amministrative delle istituzioni,Institucijų administracinės išlaidos,Iestāžu administratīvie izdevumi,Nefqa amministrattiva tal-istituzzjonijiet,Administratieve uitgaven van de instellingen,Wydatki administracyjne instytucji,Despesas administrativas das instituições,Cheltuieli administrative ale instituțiilor,Administratívne výdavky inštitúcií,Upravni odhodki institucij,Administrativa utgifter för institutionerna,nom-item,5.2.1,,European Parliament,Parlement européen,Европейски парламент,Evropský parlament,Europa-Parlamentet,Europäisches Parlament,Ευρωπαϊκό Κοινοβούλιο,Parlamento Europeo,Euroopa Parlament,Euroopan parlamentti,Europski parlament,Európai Parlament,Parlamento europeo,Europos Parlamentas,Eiropas Parlaments,Parlament Ewropew,Europees Parlement,Parlament Europejski,Parlamento Europeu ,Parlamentul European,Európsky parlament,Evropski parlament,Europaparlamentet,nom-item,5.2.12,,Staff,Personnel,Персонал,Zaměstnanci,Personale,Personal,Προσωπικό,Personal,Personal,Henkilöstö,Osoblje,Személyi állomány,Personale,Darbuotojai,Personāls,Persunal,Personeel,Personel,Pessoal,Personal,Zamestnanci,Uslužbenci,Personal,nom-item,5.2.122,Dienstbezüge des externen Personals,de
metadata,nomenc,fp,nom-item,5,,,,,,Administration,-,Администрация,Správa,-,Verwaltung,Διοίκηση,Administración,Haldus,Hallinto,Administracija,Igazgatás,Amministrazione,Administravimas,Administrācija,Amministrazzjoni,Administratie,Administracja,Administração,Administrație,Administratíva,Uprava,-,nom-item,5.2,,,,,,Administrative expenditure of the institutions,Dépenses administratives des institutions,Административни разходи на институциите,Správní výdaje orgánů,Institutionernes administrative udgifter,Verwaltungsausgaben der Organe,Διοικητικές δαπάνες των θεσμικών οργάνων,Gastos administrativos de las Instituciones,Institutsioonide halduskulud,Toimielinten hallintomenot,Administrativni rashodi institucija,Az intézmények igazgatási kiadásai,Spese amministrative delle istituzioni,Institucijų administracinės išlaidos,Iestāžu administratīvie izdevumi,Nefqa amministrattiva tal-istituzzjonijiet,Administratieve uitgaven van de instellingen,Wydatki administracyjne instytucji,Despesas administrativas das instituições,Cheltuieli administrative ale instituțiilor,Administratívne výdavky inštitúcií,Upravni odhodki institucij,Administrativa utgifter för institutionerna,nom-item,5.2.1,,European Parliament,Parlement européen,Европейски парламент,Evropský parlament,Europa-Parlamentet,Europäisches Parlament,Ευρωπαϊκό Κοινοβούλιο,Parlamento Europeo,Euroopa Parlament,Euroopan parlamentti,Europski parlament,Európai Parlament,Parlamento europeo,Europos Parlamentas,Eiropas Parlaments,Parlament Ewropew,Europees Parlement,Parlament Europejski,Parlamento Europeu ,Parlamentul European,Európsky parlament,Evropski parlament,Europaparlamentet,nom-item,5.2.12,,Staff,Personnel,Персонал,Zaměstnanci,Personale,Personal,Προσωπικό,Personal,Personal,Henkilöstö,Osoblje,Személyi állomány,Personale,Darbuotojai,Personāls,Persunal,Personeel,Personel,Pessoal,Personal,Zamestnanci,Uslužbenci,Personal,nom-item,5.2.122,Αμοιβή εξωτερικού προσωπικού,el
metadata,nomenc,fp,nom-item,5,,,,,,Administration,-,Администрация,Správa,-,Verwaltung,Διοίκηση,Administración,Haldus,Hallinto,Administracija,Igazgatás,Amministrazione,Administravimas,Administrācija,Amministrazzjoni,Administratie,Administracja,Administração,Administrație,Administratíva,Uprava,-,nom-item,5.2,,,,,,Administrative expenditure of the institutions,Dépenses administratives des institutions,Административни разходи на институциите,Správní výdaje orgánů,Institutionernes administrative udgifter,Verwaltungsausgaben der Organe,Διοικητικές δαπάνες των θεσμικών οργάνων,Gastos administrativos de las Instituciones,Institutsioonide halduskulud,Toimielinten hallintomenot,Administrativni rashodi institucija,Az intézmények igazgatási kiadásai,Spese amministrative delle istituzioni,Institucijų administracinės išlaidos,Iestāžu administratīvie izdevumi,Nefqa amministrattiva tal-istituzzjonijiet,Administratieve uitgaven van de instellingen,Wydatki administracyjne instytucji,Despesas administrativas das instituições,Cheltuieli administrative ale instituțiilor,Administratívne výdavky inštitúcií,Upravni odhodki institucij,Administrativa utgifter för institutionerna,nom-item,5.2.1,,European Parliament,Parlement européen,Европейски парламент,Evropský parlament,Europa-Parlamentet,Europäisches Parlament,Ευρωπαϊκό Κοινοβούλιο,Parlamento Europeo,Euroopa Parlament,Euroopan parlamentti,Europski parlament,Európai Parlament,Parlamento europeo,Europos Parlamentas,Eiropas Parlaments,Parlament Ewropew,Europees Parlement,Parlament Europejski,Parlamento Europeu ,Parlamentul European,Európsky parlament,Evropski parlament,Europaparlamentet,nom-item,5.2.12,,Staff,Personnel,Персонал,Zaměstnanci,Personale,Personal,Προσωπικό,Personal,Personal,Henkilöstö,Osoblje,Személyi állomány,Personale,Darbuotojai,Personāls,Persunal,Personeel,Personel,Pessoal,Personal,Zamestnanci,Uslužbenci,Personal,nom-item,5.2.122,Remuneración personal externo ,es
metadata,nomenc,fp,nom-item,5,,,,,,Administration,-,Администрация,Správa,-,Verwaltung,Διοίκηση,Administración,Haldus,Hallinto,Administracija,Igazgatás,Amministrazione,Administravimas,Administrācija,Amministrazzjoni,Administratie,Administracja,Administração,Administrație,Administratíva,Uprava,-,nom-item,5.2,,,,,,Administrative expenditure of the institutions,Dépenses administratives des institutions,Административни разходи на институциите,Správní výdaje orgánů,Institutionernes administrative udgifter,Verwaltungsausgaben der Organe,Διοικητικές δαπάνες των θεσμικών οργάνων,Gastos administrativos de las Instituciones,Institutsioonide halduskulud,Toimielinten hallintomenot,Administrativni rashodi institucija,Az intézmények igazgatási kiadásai,Spese amministrative delle istituzioni,Institucijų administracinės išlaidos,Iestāžu administratīvie izdevumi,Nefqa amministrattiva tal-istituzzjonijiet,Administratieve uitgaven van de instellingen,Wydatki administracyjne instytucji,Despesas administrativas das instituições,Cheltuieli administrative ale instituțiilor,Administratívne výdavky inštitúcií,Upravni odhodki institucij,Administrativa utgifter för institutionerna,nom-item,5.2.1,,European Parliament,Parlement européen,Европейски парламент,Evropský parlament,Europa-Parlamentet,Europäisches Parlament,Ευρωπαϊκό Κοινοβούλιο,Parlamento Europeo,Euroopa Parlament,Euroopan parlamentti,Europski parlament,Európai Parlament,Parlamento europeo,Europos Parlamentas,Eiropas Parlaments,Parlament Ewropew,Europees Parlement,Parlament Europejski,Parlamento Europeu ,Parlamentul European,Európsky parlament,Evropski parlament,Europaparlamentet,nom-item,5.2.12,,Staff,Personnel,Персонал,Zaměstnanci,Personale,Personal,Προσωπικό,Personal,Personal,Henkilöstö,Osoblje,Személyi állomány,Personale,Darbuotojai,Personāls,Persunal,Personeel,Personel,Pessoal,Personal,Zamestnanci,Uslužbenci,Personal,nom-item,5.2.122,Koosseisuväliste töötajate töötasu,et
metadata,nomenc,fp,nom-item,5,,,,,,Administration,-,Администрация,Správa,-,Verwaltung,Διοίκηση,Administración,Haldus,Hallinto,Administracija,Igazgatás,Amministrazione,Administravimas,Administrācija,Amministrazzjoni,Administratie,Administracja,Administração,Administrație,Administratíva,Uprava,-,nom-item,5.2,,,,,,Administrative expenditure of the institutions,Dépenses administratives des institutions,Административни разходи на институциите,Správní výdaje orgánů,Institutionernes administrative udgifter,Verwaltungsausgaben der Organe,Διοικητικές δαπάνες των θεσμικών οργάνων,Gastos administrativos de las Instituciones,Institutsioonide halduskulud,Toimielinten hallintomenot,Administrativni rashodi institucija,Az intézmények igazgatási kiadásai,Spese amministrative delle istituzioni,Institucijų administracinės išlaidos,Iestāžu administratīvie izdevumi,Nefqa amministrattiva tal-istituzzjonijiet,Administratieve uitgaven van de instellingen,Wydatki administracyjne instytucji,Despesas administrativas das instituições,Cheltuieli administrative ale instituțiilor,Administratívne výdavky inštitúcií,Upravni odhodki institucij,Administrativa utgifter för institutionerna,nom-item,5.2.1,,European Parliament,Parlement européen,Европейски парламент,Evropský parlament,Europa-Parlamentet,Europäisches Parlament,Ευρωπαϊκό Κοινοβούλιο,Parlamento Europeo,Euroopa Parlament,Euroopan parlamentti,Europski parlament,Európai Parlament,Parlamento europeo,Europos Parlamentas,Eiropas Parlaments,Parlament Ewropew,Europees Parlement,Parlament Europejski,Parlamento Europeu ,Parlamentul European,Európsky parlament,Evropski parlament,Europaparlamentet,nom-item,5.2.12,,Staff,Personnel,Персонал,Zaměstnanci,Personale,Personal,Προσωπικό,Personal,Personal,Henkilöstö,Osoblje,Személyi állomány,Personale,Darbuotojai,Personāls,Persunal,Personeel,Personel,Pessoal,Personal,Zamestnanci,Uslužbenci,Personal,nom-item,5.2.122,Ulkopuolisen henkilöstön palkat,fi
metadata,nomenc,fp,nom-item,5,,,,,,Administration,-,Администрация,Správa,-,Verwaltung,Διοίκηση,Administración,Haldus,Hallinto,Administracija,Igazgatás,Amministrazione,Administravimas,Administrācija,Amministrazzjoni,Administratie,Administracja,Administração,Administrație,Administratíva,Uprava,-,nom-item,5.2,,,,,,Administrative expenditure of the institutions,Dépenses administratives des institutions,Административни разходи на институциите,Správní výdaje orgánů,Institutionernes administrative udgifter,Verwaltungsausgaben der Organe,Διοικητικές δαπάνες των θεσμικών οργάνων,Gastos administrativos de las Instituciones,Institutsioonide halduskulud,Toimielinten hallintomenot,Administrativni rashodi institucija,Az intézmények igazgatási kiadásai,Spese amministrative delle istituzioni,Institucijų administracinės išlaidos,Iestāžu administratīvie izdevumi,Nefqa amministrattiva tal-istituzzjonijiet,Administratieve uitgaven van de instellingen,Wydatki administracyjne instytucji,Despesas administrativas das instituições,Cheltuieli administrative ale instituțiilor,Administratívne výdavky inštitúcií,Upravni odhodki institucij,Administrativa utgifter för institutionerna,nom-item,5.2.1,,European Parliament,Parlement européen,Европейски парламент,Evropský parlament,Europa-Parlamentet,Europäisches Parlament,Ευρωπαϊκό Κοινοβούλιο,Parlamento Europeo,Euroopa Parlament,Euroopan parlamentti,Europski parlament,Európai Parlament,Parlamento europeo,Europos Parlamentas,Eiropas Parlaments,Parlament Ewropew,Europees Parlement,Parlament Europejski,Parlamento Europeu ,Parlamentul European,Európsky parlament,Evropski parlament,Europaparlamentet,nom-item,5.2.12,,Staff,Personnel,Персонал,Zaměstnanci,Personale,Personal,Προσωπικό,Personal,Personal,Henkilöstö,Osoblje,Személyi állomány,Personale,Darbuotojai,Personāls,Persunal,Personeel,Personel,Pessoal,Personal,Zamestnanci,Uslužbenci,Personal,nom-item,5.2.122,Plaće za vanjsko osoblje,hr
metadata,nomenc,fp,nom-item,5,,,,,,Administration,-,Администрация,Správa,-,Verwaltung,Διοίκηση,Administración,Haldus,Hallinto,Administracija,Igazgatás,Amministrazione,Administravimas,Administrācija,Amministrazzjoni,Administratie,Administracja,Administração,Administrație,Administratíva,Uprava,-,nom-item,5.2,,,,,,Administrative expenditure of the institutions,Dépenses administratives des institutions,Административни разходи на институциите,Správní výdaje orgánů,Institutionernes administrative udgifter,Verwaltungsausgaben der Organe,Διοικητικές δαπάνες των θεσμικών οργάνων,Gastos administrativos de las Instituciones,Institutsioonide halduskulud,Toimielinten hallintomenot,Administrativni rashodi institucija,Az intézmények igazgatási kiadásai,Spese amministrative delle istituzioni,Institucijų administracinės išlaidos,Iestāžu administratīvie izdevumi,Nefqa amministrattiva tal-istituzzjonijiet,Administratieve uitgaven van de instellingen,Wydatki administracyjne instytucji,Despesas administrativas das instituições,Cheltuieli administrative ale instituțiilor,Administratívne výdavky inštitúcií,Upravni odhodki institucij,Administrativa utgifter för institutionerna,nom-item,5.2.1,,European Parliament,Parlement européen,Европейски парламент,Evropský parlament,Europa-Parlamentet,Europäisches Parlament,Ευρωπαϊκό Κοινοβούλιο,Parlamento Europeo,Euroopa Parlament,Euroopan parlamentti,Europski parlament,Európai Parlament,Parlamento europeo,Europos Parlamentas,Eiropas Parlaments,Parlament Ewropew,Europees Parlement,Parlament Europejski,Parlamento Europeu ,Parlamentul European,Európsky parlament,Evropski parlament,Europaparlamentet,nom-item,5.2.12,,Staff,Personnel,Персонал,Zaměstnanci,Personale,Personal,Προσωπικό,Personal,Personal,Henkilöstö,Osoblje,Személyi állomány,Personale,Darbuotojai,Personāls,Persunal,Personeel,Personel,Pessoal,Personal,Zamestnanci,Uslužbenci,Personal,nom-item,5.2.122,Külső alkalmazottak javadalmazása,hu
metadata,nomenc,fp,nom-item,5,,,,,,Administration,-,Администрация,Správa,-,Verwaltung,Διοίκηση,Administración,Haldus,Hallinto,Administracija,Igazgatás,Amministrazione,Administravimas,Administrācija,Amministrazzjoni,Administratie,Administracja,Administração,Administrație,Administratíva,Uprava,-,nom-item,5.2,,,,,,Administrative expenditure of the institutions,Dépenses administratives des institutions,Административни разходи на институциите,Správní výdaje orgánů,Institutionernes administrative udgifter,Verwaltungsausgaben der Organe,Διοικητικές δαπάνες των θεσμικών οργάνων,Gastos administrativos de las Instituciones,Institutsioonide halduskulud,Toimielinten hallintomenot,Administrativni rashodi institucija,Az intézmények igazgatási kiadásai,Spese amministrative delle istituzioni,Institucijų administracinės išlaidos,Iestāžu administratīvie izdevumi,Nefqa amministrattiva tal-istituzzjonijiet,Administratieve uitgaven van de instellingen,Wydatki administracyjne instytucji,Despesas administrativas das instituições,Cheltuieli administrative ale instituțiilor,Administratívne výdavky inštitúcií,Upravni odhodki institucij,Administrativa utgifter för institutionerna,nom-item,5.2.1,,European Parliament,Parlement européen,Европейски парламент,Evropský parlament,Europa-Parlamentet,Europäisches Parlament,Ευρωπαϊκό Κοινοβούλιο,Parlamento Europeo,Euroopa Parlament,Euroopan parlamentti,Europski parlament,Európai Parlament,Parlamento europeo,Europos Parlamentas,Eiropas Parlaments,Parlament Ewropew,Europees Parlement,Parlament Europejski,Parlamento Europeu ,Parlamentul European,Európsky parlament,Evropski parlament,Europaparlamentet,nom-item,5.2.12,,Staff,Personnel,Персонал,Zaměstnanci,Personale,Personal,Προσωπικό,Personal,Personal,Henkilöstö,Osoblje,Személyi állomány,Personale,Darbuotojai,Personāls,Persunal,Personeel,Personel,Pessoal,Personal,Zamestnanci,Uslužbenci,Personal,nom-item,5.2.122,Retribuzioni del personale esterno,it
